color,country,latitude,longitude,wikidata,must be 1 or more,special value in what could be previous row,note
85,Morocco,32,-6,http://www.wikidata.org/entity/Q1028,1,,
86,Marshall Islands,7.116666666,171.0666667,http://www.wikidata.org/entity/Q709,1,,
87,Angola,-12.35,17.35,http://www.wikidata.org/entity/Q916,1,,
88,Paraguay,-23.5,-58,http://www.wikidata.org/entity/Q733,1,,
89,Burundi,-3.666667,29.816667,http://www.wikidata.org/entity/Q967,1,,
90,Mongolia,47,104,http://www.wikidata.org/entity/Q711,1,,
91,Mauritius,-20.2,57.5,http://www.wikidata.org/entity/Q1027,1,,
92,Montenegro,42.766667,19.216667,http://www.wikidata.org/entity/Q236,1,,
93,Nauru,-0.533333333,166.9333333,http://www.wikidata.org/entity/Q697,1,,
94,Nicaragua,13,-85,http://www.wikidata.org/entity/Q811,1,,
95,Niue,-19.05,-169.9166667,http://www.wikidata.org/entity/Q34020,1,,
96,Qatar,25.269535,51.212767,http://www.wikidata.org/entity/Q846,1,,
97,Oman,21,57,http://www.wikidata.org/entity/Q842,1,,
98,Palau,7.466667,134.55,http://www.wikidata.org/entity/Q695,1,,
99,Mauritania,21,-11,http://www.wikidata.org/entity/Q1025,1,,
100,Saint Kitts and Nevis,17.33,-62.666667,http://www.wikidata.org/entity/Q763,1,,
101,Portugal,38.7,-9.183333333,http://www.wikidata.org/entity/Q45,1,,
102,Saint Lucia,13.88333333,-60.96666667,http://www.wikidata.org/entity/Q760,1,,
103,Ireland,53,-8,http://www.wikidata.org/entity/Q27,1,,
104,Saint Vincent and the Grenadines,13.16666667,-61.23333333,http://www.wikidata.org/entity/Q757,1,,
105,Sri Lanka,7,81,http://www.wikidata.org/entity/Q854,1,,
106,Samoa,-14,-172,http://www.wikidata.org/entity/Q683,1,,
107,Romania,46,25,http://www.wikidata.org/entity/Q218,1,,
108,Italy,42.5,12.5,http://www.wikidata.org/entity/Q38,1,,
109,São Tomé and Príncipe,0.316667,6.6,http://www.wikidata.org/entity/Q1039,1,,
110,Seychelles,-7.1,52.766667,http://www.wikidata.org/entity/Q1042,1,,
111,Sierra Leone,8.5,-12.1,http://www.wikidata.org/entity/Q1044,1,,
112,Cambodia,12.6,105,http://www.wikidata.org/entity/Q424,1,,
113,Kazakhstan,48,68,http://www.wikidata.org/entity/Q232,1,,
114,Singapore,1.3,103.8,http://www.wikidata.org/entity/Q334,1,,
115,Sint Maarten,18.03194444,-63.06777778,http://www.wikidata.org/entity/Q26273,1,,
116,Solomon Islands,-9.466666666,159.8166667,http://www.wikidata.org/entity/Q685,1,,
117,Slovakia,49,20,http://www.wikidata.org/entity/Q214,1,,
118,Ghana,8,-0.5,http://www.wikidata.org/entity/Q117,1,,
119,Russia,66,88,http://www.wikidata.org/entity/Q159,1,,
120,Tajikistan,38.583333,71.366667,http://www.wikidata.org/entity/Q863,1,,
121,Tanzania,-6.307,34.854,http://www.wikidata.org/entity/Q924,1,,
122,United States of America,39.828175,-98.5795,http://www.wikidata.org/entity/Q30,1,,
123,The Bahamas,23.7,-76.4,http://www.wikidata.org/entity/Q778,1,,
124,The Gambia,13.5,-15.5,http://www.wikidata.org/entity/Q1005,1,,
125,Sweden,61,15,http://www.wikidata.org/entity/Q34,1,,
126,Togo,8.25,1.183333,http://www.wikidata.org/entity/Q945,1,,
127,Malaysia,3.7805111,102.3143617,http://www.wikidata.org/entity/Q833,1,,
128,Transnistria,47.7,29,http://www.wikidata.org/entity/Q907112,1,,
129,Trinidad and Tobago,10.66666667,-61.51666667,http://www.wikidata.org/entity/Q754,1,,
130,Afghanistan,33,66,http://www.wikidata.org/entity/Q889,1,,
131,New Zealand,-41.2,174,http://www.wikidata.org/entity/Q664,1,,
132,Turkmenistan,39,60,http://www.wikidata.org/entity/Q874,1,,
133,France,47,2,http://www.wikidata.org/entity/Q142,1,,
134,Poland,52,19,http://www.wikidata.org/entity/Q36,1,,
135,Tuvalu,-7.475,178.005556,http://www.wikidata.org/entity/Q672,1,,
136,Brazil,-14,-53,http://www.wikidata.org/entity/Q155,1,,
137,Iraq,33,43,http://www.wikidata.org/entity/Q796,1,,
138,Uganda,1.28,32.39,http://www.wikidata.org/entity/Q1036,1,,
139,United Arab Emirates,24.4,54.3,http://www.wikidata.org/entity/Q878,1,,
140,South Korea,36,128,http://www.wikidata.org/entity/Q884,1,,
141,Vanuatu,-16.63333056,168.0166694,http://www.wikidata.org/entity/Q686,1,,
142,Uzbekistan,41,66,http://www.wikidata.org/entity/Q265,1,,
143,Yemen,15.5,48,http://www.wikidata.org/entity/Q805,1,,
144,Rwanda,-1.940277777,29.87388889,http://www.wikidata.org/entity/Q1037,1,,
145,Bolivia,-17.05686961,-64.99122861,http://www.wikidata.org/entity/Q750,1,,
146,Zambia,-14,28,http://www.wikidata.org/entity/Q953,1,,
147,Tonga,-20,-175,http://www.wikidata.org/entity/Q678,1,,
148,Western Sahara,26.3,-9.5,http://www.wikidata.org/entity/Q6250,1,,
149,Belgium,50.86,4.325,http://www.wikidata.org/entity/Q31,1,,
153,People's Republic of China,35.84472222,103.4519444,http://www.wikidata.org/entity/Q148,5,,
154,Turkey,39,36,http://www.wikidata.org/entity/Q43,1,,
155,Czech Republic,49.5,16,http://www.wikidata.org/entity/Q213,1,,
160,Denmark,56,10,http://www.wikidata.org/entity/Q35,5,,
164,Laos,19,103,http://www.wikidata.org/entity/Q819,4,,
165,Benin,8.833333333,2.183333333,http://www.wikidata.org/entity/Q962,1,,
167,Thailand,14,101,http://www.wikidata.org/entity/Q869,2,,
169,Uruguay,-33,-56,http://www.wikidata.org/entity/Q77,2,168: disputed border,
170,Argentina,-34,-64,http://www.wikidata.org/entity/Q414,1,,
173,Nepal,28,84,http://www.wikidata.org/entity/Q837,3,,
177,Canada,56,-109,http://www.wikidata.org/entity/Q16,4,,
182,Democratic Republic of the Congo,-2.88,23.656,http://www.wikidata.org/entity/Q974,5,,
184,Bangladesh,24.016667,89.866667,http://www.wikidata.org/entity/Q902,2,,
187,Zimbabwe,-19,30,http://www.wikidata.org/entity/Q954,3,,
188,Djibouti,11.8,42.433333,http://www.wikidata.org/entity/Q977,1,,
189,Nigeria,9,8,http://www.wikidata.org/entity/Q1033,1,,
194,Bulgaria,42.75,25.5,http://www.wikidata.org/entity/Q219,5,190: sea,
201,Colombia,4,-74,http://www.wikidata.org/entity/Q739,7,,
208,Cameroon,7,12,http://www.wikidata.org/entity/Q1009,7,,
211,Mexico,23,-102,http://www.wikidata.org/entity/Q96,3,,
214,Eritrea,15.483333,38.25,http://www.wikidata.org/entity/Q986,3,,
217,Albania,41,20,http://www.wikidata.org/entity/Q222,3,,
223,Finland,65,27,http://www.wikidata.org/entity/Q33,6,,
224,Israel,30.8,34.8,http://www.wikidata.org/entity/Q801,1,,
229,Syria,35.216667,38.583333,http://www.wikidata.org/entity/Q858,5,,
232,Croatia,45.25,15.466667,http://www.wikidata.org/entity/Q224,3,,
243,Tunisia,34,10,http://www.wikidata.org/entity/Q948,11,,
249,Libya,27,17,http://www.wikidata.org/entity/Q1016,6,,
,Aruba,12.51106253,-69.97422388,http://www.wikidata.org/entity/Q21203,-249,,TODO see https://english.defensie.nl/topics/hydrography/documents/applications/2019/07/19/maritme-zones-aruba
,Gagauzia,46.316389,28.666389,http://www.wikidata.org/entity/Q164819,0,,
,Galicia,43.05,-8.133333333,http://www.wikidata.org/entity/Q3908,0,,
,Liechtenstein,47.145,9.553889,http://www.wikidata.org/entity/Q347,0,,
,Republic of Artsakh,39.86666667,46.71666667,http://www.wikidata.org/entity/Q244165,0,,
